scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,visibility,cycle,50.0,20.0,0.0,1,0,0,0,0,154.49492617626788,728.640915142317,154.49492617626788,0.0
random-s0-0000,visibility,cycle,50.0,100.0,0.0,1,0,0,0,0,140.36823858324624,720.1316919304683,140.36823858324624,0.0
random-s0-0000,visibility,cycle,150.0,20.0,0.0,1,0,0,0,0,5.754175365322084,839.3265117084607,5.754175365322084,0.0
random-s0-0000,visibility,cycle,150.0,100.0,0.0,1,0,0,0,0,3.661239837814861,839.1119219820208,3.661239837814861,0.0
random-s0-0000,visibility,event,0.0,20.0,0.0,1,0,0,0,0,145.89547205241712,728.5001353937772,145.89547205241712,0.0
random-s0-0000,visibility,event,0.0,100.0,0.0,1,0,0,0,0,127.9890573226504,735.8699354895539,127.9890573226504,0.0
random-s0-0000,visibility,event,50.0,20.0,0.0,1,0,0,0,0,157.29886280605916,571.1031269389246,157.29886280605916,0.0
random-s0-0000,visibility,event,50.0,100.0,0.0,1,0,0,0,0,140.36823858324624,633.8374140027587,140.36823858324624,0.0
random-s0-0000,visibility,event,150.0,20.0,0.0,1,0,1,1,0,-40.19323126347044,39.64283695025725,-40.19323126347044,320.0
random-s0-0000,visibility,event,150.0,100.0,0.0,1,0,0,0,0,3.661239837814861,690.1764167097824,3.661239837814861,0.0
random-s0-0001,voronoi,once,0.0,20.0,0.0,1,0,1,1,0,-169.03402356557666,201.2995062831088,-169.03402356557666,960.0000000000006
random-s0-0001,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,10.117213626960108,60.24067421481499,10.117213626960108,0.0
random-s0-0001,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,1.5374976113847652,134.12740175247967,1.5374976113847652,0.0
random-s0-0001,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,10.323489445663853,285.58689159409045,10.323489445663853,0.0
random-s0-0001,voronoi,cycle,50.0,100.0,0.0,1,0,1,1,0,-1.2760909847567063,186.70682432638733,-1.2760909847567063,20.0
random-s0-0001,voronoi,cycle,150.0,20.0,0.0,1,0,0,0,0,100.01621459060914,331.0006667813309,100.01621459060914,0.0
random-s0-0001,voronoi,cycle,150.0,100.0,0.0,1,0,0,0,0,74.95271042833656,361.3857850213129,74.95271042833656,0.0
random-s0-0001,voronoi,event,0.0,20.0,0.0,1,0,2,1,1,-116.68316073261006,-2.8813587953774515,-116.68316073261006,320.0
random-s0-0001,voronoi,event,0.0,100.0,0.0,1,0,3,2,1,-164.41953532397724,-105.74196139664627,-164.41953532397724,620.0000000000002
random-s0-0001,voronoi,event,50.0,20.0,0.0,1,0,1,1,0,-90.400485630508,176.18368265179896,-90.400485630508,240.0
random-s0-0001,voronoi,event,50.0,100.0,0.0,1,0,1,1,0,-1.9730741230645208,217.60392554351864,-1.9730741230645208,20.0
